Index,m:s.ms.us,Dur,Len,Err,PID,CRC,Packet,Packet Data
0,00:07.661.995,0.12 us,,,SETUP,02,DEV = 00 EP = 00,2D 00 10
1,00:07.661.995,0.25 us,8,,DATA0,94DD,GET_DESCRIPTOR [ DEVICE ] ,C3 80 06 00 01 00 00 40 00 DD 94
2,00:07.661.996,0.08 us,,,ACK,,,D2
3,00:07.661.998,99.65 us,,,,,[5 IN/NAK],
4,00:07.662.123,103.93 us,,,,,[5 IN/NAK],
5,00:07.662.253,78.00 us,,,,,[4 IN/NAK],
6,00:07.662.361,99.83 us,,,,,[5 IN/NAK],
7,00:07.662.487,52.05 us,,,,,[3 IN/NAK],
8,00:07.662.565,0.12 us,,,IN,02,DEV = 00 EP = 80,69 00 10
9,00:07.662.565,0.42 us,18,,DATA1,213B,12 01 00 02 00 00 00 40 F0 03 17 2B 00 01 01 02 03 01,4B 12 01 00 02 00 00 00 40 F0 03 17 2B 00 01 01 02 03 01 3B 21
10,00:07.662.566,0.08 us,,,ACK,,,D2
11,00:07.662.573,0.12 us,,,OUT,02,DEV = 00 EP = 00,E1 00 10
12,00:07.662.573,0.12 us,0,,DATA1,,,4B 00 00
13,00:07.662.574,0.08 us,,,NAK,,,5A
14,00:07.663.608,0.12 us,,,OUT,02,DEV = 00 EP = 00,E1 00 10
15,00:07.663.609,0.12 us,0,,DATA1,,,4B 00 00
16,00:07.663.609,0.08 us,,,ACK,,,D2
17,00:07.754.808,0.10 us,,,SETUP,02,DEV = 00 EP = 00,2D 00 10
18,00:07.754.808,0.23 us,8,,DATA0,0BEA,SET_ADDRESS,C3 00 05 0F 00 00 00 00 00 EA 0B
19,00:07.754.809,0.07 us,,,ACK,,,D2
20,00:07.754.810,0.10 us,,,IN,02,DEV = 00 EP = 80,69 00 10
21,00:07.754.810,0.10 us,0,,DATA1,,,4B 00 00
22,00:07.754.810,0.07 us,,,ACK,,,D2
23,00:07.772.805,0.10 us,,,SETUP,03,DEV = 0F EP = 00,2D 0F 18
24,00:07.772.805,0.23 us,8,,DATA0,F4E0,GET_DESCRIPTOR [ DEVICE ] ,C3 80 06 00 01 00 00 12 00 E0 F4
25,00:07.772.805,0.07 us,,,ACK,,,D2
